Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Spurr Wing Accommodation,Building,101973,BLD163154,LGHP Spurr Wing Accommodation (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Sexual Health Building,Building,102021,BLD163220,LGHP Sexual Health Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Wilfred Lopes Secure Mental Health Facility (WLSMHF),Site,102215,Plant Room (Utilities),Building,101723,BLD163289,WLSMHF Plant Room  (Utilities) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0516),Building,101894,BLD163396,MCHP Residence (0516) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,Residence (330),Building,101761,BLD163390,KIDHCHC Residence (0330) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,Residence (331),Building,101751,BLD163389,KIDHCHC Residence (0331) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0993),Building,101904,BLD163397,MCHP Residence (0993) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Parkside (PKS),Site,102100,Parkside - Renal Unit,Building,101996,BLD163403,(PKS) Parkside - Renal Unit (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0207),Building,101909,BLD163395,MCHP Residence (0207) (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,The Piggery,Building,102035,BLD163406,(SJP) The Piggery (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0517),Building,101877,BLD163399,MCHP Residence (0517) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,Residence (0334),Building,101775,BLD163391,KIDHCHC Residence (0334) (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,17 St Johns Avenue,Building,102049,BLD163405,(SJP) 17 St Johns Avenue (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Parkside (PKS),Site,102100,Parkside - Tower,Building,101921,BLD163401,(PKS) Parkside - Tower (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island - Residence complex (KIDHR),Site,102218,Unit 1,Building,101835,BLD163362,KIDHR Unit 1 (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Burnie Community Health Service (BCHS),Site,102097,Store / Workshop,Building,101729,BLD163247,BCHS Store / Workshop (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Store / Workshop,Building,101899,BLD163161,FIMPSC Store / Workshop (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Vicarage,Building,101700,BLD163137,SJP Vicarage (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Store / Workshop,Building,101933,BLD163270,MCHP Store / Workshop (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island - Residence complex (KIDHR),Site,102218,Unit 3,Building,101839,BLD163364,KIDHR Unit 3 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Repat Centre (RPTC),Site,102127,Orthotic Prosthetic Services and Artificial Limb Centre,Building,101765,BLD163178,RPTC Orthotic Prosthetic Services and Artificial Limb Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nelumie Flats Units 19 - 24,Building,102033,BLD163236,LGHP Nelumie Flats Units 19 - 24 (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,St Mary's Community Health Centre (SMCHC),Site,102192,Stores Building,Building,101720,BLD163171,SMCHC Stores Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Store / Workshop - Mortuary (near Woodhouse),Building,101797,BLD163196,SJP Store / Workshop - Mortuary  (near Woodhouse) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Unit 4,Building,101949,BLD163288,MCHP Unit 4 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Transport Garage Compound,Building,101804,BLD163323,SJP Transport Garage Compound (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,Wellington Centre,Building,101887,BLD163408,(RHHP) Wellington Centre (0871)(BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Ulverstone - Oral Health Clinic (UOHC),Site,102202,Oral Health Services,Building,101862,BLD163197,UOHC Oral Health Services (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,Wellington Centre,Building,101887,BLD163407,(RHHP) Wellington Centre (2059)(BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Inga Building,Building,101698,BLD163378,SJP Inga Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Unit 6,Building,101863,BLD163334,FIMPSC Unit 6 (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Unit 5,Building,101910,BLD163313,FIMPSC Unit 5 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Tasman Multi Purpose Service Centre Precinct (TMPSCP),Site,102166,Home Care Services,Building,102055,BLD163240,TMPSCP Home Care Services (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Beaconsfield District Health Centre (BDHC),Site,102092,Nurses Home,Building,101743,BLD163125,BDHC Nurses Home (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Oakrise (Kelham St),Building,102066,BLD163109,LGHP Oakrise  (Kelham St) (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Tolosa Street MHS (TOMHS),Site,102119,Unit 110B,Building,101991,BLD163232,TOMHS Unit 110B (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Sub Station/Pump Station,Building,101928,BLD163273,MCHP Sub Station/Pump Station (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Southern Dental Centre (SDC),Site,102160,Warragul Ave Building,Building,102040,BLD163084,SDC Warragul Ave Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Repat Centre (RPTC),Site,102127,Store / Workshop,Building,101744,BLD163248,RPTC Store / Workshop (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nurse's Home 2,Building,102008,BLD163285,LGHP Nurse's Home 2 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,The Hall,Building,101830,BLD163097,SJP The Hall (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Oral Health Services,Building,101948,BLD163198,MCHP Oral Health Services (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Central Highlands Community Health Centre (CHCHC),Site,102170,Unit 2,Building,101786,BLD163291,CHCHC Unit 2 (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nelumie Flats Units 1 - 6,Building,102022,BLD163086,LGHP Nelumie Flats Units 1 - 6 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Store / Workshop (near Day Centre),Building,101807,BLD163087,SJP Store / Workshop  (near Day Centre) (BUILDING),Active
